"data_item_description","series_type","series_id","series_start","series_end","no_obs","unit","data_type","collection_month","common_series_start","common_series_end","common_start_year","common_start_period","common_end_year","common_end_period","freq_name","freq_num"
"Inventories ;  Total (State) ;  Accommodation and food services ;  Chain Volume Measures ;  TOTAL (SCP_SCOPE) ;","Original","A3538869A",1985-09-01,2023-03-01,151,"$ Millions","STOCK_CLOSE",3,1985-09-01,2019-03-01,1985,3,2019,1,"Quarter",4
"Inventories ;  Total (State) ;  Accommodation and food services ;  Chain Volume Measures ;  TOTAL (SCP_SCOPE) ;","Seasonally Adjusted","A3538870K",1985-09-01,2023-03-01,151,"$ Millions","STOCK_CLOSE",3,1985-09-01,2019-03-01,1985,3,2019,1,"Quarter",4
"Inventories ;  Total (State) ;  Accommodation and food services ;  Chain Volume Measures ;  TOTAL (SCP_SCOPE) ;","Trend","A3538871L",1985-09-01,2023-03-01,151,"$ Millions","STOCK_CLOSE",3,1985-09-01,2019-03-01,1985,3,2019,1,"Quarter",4
"Inventories ;  Total (State) ;  Electricity, gas, water and waste services ;  Chain Volume Measures ;  TOTAL (SCP_SCOPE) ;","Original","A3538860F",1985-09-01,2023-03-01,151,"$ Millions","STOCK_CLOSE",3,1985-09-01,2019-03-01,1985,3,2019,1,"Quarter",4
"Inventories ;  Total (State) ;  Electricity, gas, water and waste services ;  Chain Volume Measures ;  TOTAL (SCP_SCOPE) ;","Seasonally Adjusted","A3538861J",1985-09-01,2023-03-01,151,"$ Millions","STOCK_CLOSE",3,1985-09-01,2019-03-01,1985,3,2019,1,"Quarter",4
"Inventories ;  Total (State) ;  Electricity, gas, water and waste services ;  Chain Volume Measures ;  TOTAL (SCP_SCOPE) ;","Trend","A3538862K",1985-09-01,2023-03-01,151,"$ Millions","STOCK_CLOSE",3,1985-09-01,2019-03-01,1985,3,2019,1,"Quarter",4
"Inventories ;  Total (State) ;  Manufacturing ;  Chain Volume Measures ;  TOTAL (SCP_SCOPE) ;","Original","A3538857T",1985-09-01,2023-03-01,151,"$ Millions","STOCK_CLOSE",3,1985-09-01,2019-03-01,1985,3,2019,1,"Quarter",4
"Inventories ;  Total (State) ;  Manufacturing ;  Chain Volume Measures ;  TOTAL (SCP_SCOPE) ;","Seasonally Adjusted","A3538858V",1985-09-01,2023-03-01,151,"$ Millions","STOCK_CLOSE",3,1985-09-01,2019-03-01,1985,3,2019,1,"Quarter",4
"Inventories ;  Total (State) ;  Manufacturing ;  Chain Volume Measures ;  TOTAL (SCP_SCOPE) ;","Trend","A3538859W",1985-09-01,2023-03-01,151,"$ Millions","STOCK_CLOSE",3,1985-09-01,2019-03-01,1985,3,2019,1,"Quarter",4
"Inventories ;  Total (State) ;  Mining ;  Chain Volume Measures ;  TOTAL (SCP_SCOPE) ;","Original","A3538854K",1985-09-01,2023-03-01,151,"$ Millions","STOCK_CLOSE",3,1985-09-01,2019-03-01,1985,3,2019,1,"Quarter",4
"Inventories ;  Total (State) ;  Mining ;  Chain Volume Measures ;  TOTAL (SCP_SCOPE) ;","Seasonally Adjusted","A3538855L",1985-09-01,2023-03-01,151,"$ Millions","STOCK_CLOSE",3,1985-09-01,2019-03-01,1985,3,2019,1,"Quarter",4
"Inventories ;  Total (State) ;  Mining ;  Chain Volume Measures ;  TOTAL (SCP_SCOPE) ;","Trend","A3538856R",1985-09-01,2023-03-01,151,"$ Millions","STOCK_CLOSE",3,1985-09-01,2019-03-01,1985,3,2019,1,"Quarter",4
"Inventories ;  Total (State) ;  Retail trade ;  Chain Volume Measures ;  TOTAL (SCP_SCOPE) ;","Original","A3538866V",1985-09-01,2023-03-01,151,"$ Millions","STOCK_CLOSE",3,1985-09-01,2019-03-01,1985,3,2019,1,"Quarter",4
"Inventories ;  Total (State) ;  Retail trade ;  Chain Volume Measures ;  TOTAL (SCP_SCOPE) ;","Seasonally Adjusted","A3538867W",1985-09-01,2023-03-01,151,"$ Millions","STOCK_CLOSE",3,1985-09-01,2019-03-01,1985,3,2019,1,"Quarter",4
"Inventories ;  Total (State) ;  Retail trade ;  Chain Volume Measures ;  TOTAL (SCP_SCOPE) ;","Trend","A3538868X",1985-09-01,2023-03-01,151,"$ Millions","STOCK_CLOSE",3,1985-09-01,2019-03-01,1985,3,2019,1,"Quarter",4
"Inventories ;  Total (State) ;  Total (Industry) ;  Chain Volume Measures ;  TOTAL (SCP_SCOPE) ;","Original","A3538851C",1985-09-01,2023-03-01,151,"$ Millions","STOCK_CLOSE",3,1985-09-01,2019-03-01,1985,3,2019,1,"Quarter",4
"Inventories ;  Total (State) ;  Total (Industry) ;  Chain Volume Measures ;  TOTAL (SCP_SCOPE) ;","Seasonally Adjusted","A3538852F",1985-09-01,2023-03-01,151,"$ Millions","STOCK_CLOSE",3,1985-09-01,2019-03-01,1985,3,2019,1,"Quarter",4
"Inventories ;  Total (State) ;  Total (Industry) ;  Chain Volume Measures ;  TOTAL (SCP_SCOPE) ;","Trend","A3538853J",1985-09-01,2023-03-01,151,"$ Millions","STOCK_CLOSE",3,1985-09-01,2019-03-01,1985,3,2019,1,"Quarter",4
"Inventories ;  Total (State) ;  Wholesale trade ;  Chain Volume Measures ;  TOTAL (SCP_SCOPE) ;","Original","A3538863L",1985-09-01,2023-03-01,151,"$ Millions","STOCK_CLOSE",3,1985-09-01,2019-03-01,1985,3,2019,1,"Quarter",4
"Inventories ;  Total (State) ;  Wholesale trade ;  Chain Volume Measures ;  TOTAL (SCP_SCOPE) ;","Seasonally Adjusted","A3538864R",1985-09-01,2023-03-01,151,"$ Millions","STOCK_CLOSE",3,1985-09-01,2019-03-01,1985,3,2019,1,"Quarter",4
"Inventories ;  Total (State) ;  Wholesale trade ;  Chain Volume Measures ;  TOTAL (SCP_SCOPE) ;","Trend","A3538865T",1985-09-01,2023-03-01,151,"$ Millions","STOCK_CLOSE",3,1985-09-01,2019-03-01,1985,3,2019,1,"Quarter",4
